,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
50,Senior Project Engineer,Schneider Electric ,Cairo,Full Time,Not specified,IT/Software Development,['Engineering - Telecom
51,Director of Spa,Four Seasons Hotels and Resorts ,Cairo,Full Time,Not specified,Operations/Management,['Marketing
52,Accounts Receivable Accountant,Fursaty Careers/Learn to B HR Consultancy ,Sharjah,Full Time,Not specified,2+ Yrs of Exp,['Accounting
53,Executive Manager Supply Chain,NOMAC ,Riyadh,Full Time,Manager,8+ Yrs of Exp,['Logistics
54,Assistant Risk Officer,Fursaty Careers/Learn to B HR Consultancy ,Dubai,Full Time,Not specified,0 - 5 Yrs of Exp,['Accounting
55,Assistant Manager,Abdullah Abdulghani & Bros.Co. (AAB) ,Doha,Full Time,Manager,5+ Yrs of Exp,"['Administration', 'Customer Service"
56,Business Analyst,Fursaty Careers/Learn to B HR Consultancy ,Dubai,Full Time,Not specified,6+ Yrs of Exp,['IT
57,Senior Operational Information Management and Performance Reports Associate,World Food Program ,Dubai,Full Time,Not specified,Accounting/Finance,['IT
58,Human Resources Assistant SC,World Food Program ,Cairo,Full Time,Not specified,Administration,"['Human Resources', 'IT"
59,Monitoring Assistant SC,World Food Program ,Cairo,Full Time,Not specified,IT/Software Development,['Sales
60,EH&S Supervisor,Air Products (Middle East) FZE ,Duba,Full Time,Not specified,Quality,['Engineering - Mechanical
61,Lead Planner,Air Products (Middle East) FZE ,Duba,Full Time,Not specified,Logistics/Supply Chain,['Marketing
62,Project Site Logistics Coordinator,Air Products (Middle East) FZE ,Duba,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Project
63,IT SYSTEMS ANALYST III,Yanbu Aramco Sinopec Refining Company (YASREF) ,Yanbu,Full Time,Experienced,7+ Yrs of Exp,['IT
64,Facility Security Manager,Air Products (Middle East) FZE ,Jubail,Full Time,Not specified,Administration,['Installation
65,Contract Manager,Air Products (Middle East) FZE ,Riyadh,Full Time,Not specified,10+ Yrs of Exp,['Accounting
66,Scaffolding Superintendent,Air Products (Middle East) FZE ,Duba,Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Quality', 'civil engineering', 'construction', 'engineering', 'hse']"
67,APQ Electrical Engineer,Air Products (Middle East) FZE ,Riyadh,Full Time,Not specified,Installation/Maintenance/Repair,['Sales
68,Vendor,Air Products (Middle East) FZE ,Khobar,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Sales
69,Lifting Supervisor,Air Products (Middle East) FZE ,Duba,Full Time,Not specified,Logistics/Supply Chain,['Manufacturing
70,Senior Project Rotating Mechanical Engineer,Air Products (Middle East) FZE ,Jizan,Full Time,Not specified,Installation/Maintenance/Repair,['Project
71,APQ Buyer,Air Products (Middle East) FZE ,Jubail,Full Time,Not specified,Logistics/Supply Chain,['Purchasing
72,Senior Project Process Engineer,Air Products (Middle East) FZE ,Jizan,Full Time,Not specified,IT/Software Development,['Project
73,Project Logistics Coordinator,Air Products (Middle East) FZE ,Duba,Full Time,Not specified,Administration,['Logistics
74,Mud Logger,Rawabi Holding Company ,Riyadh,Full Time,Entry Level,IT/Software Development,['Engineering - Mechanical
75,Research Specialist Level 1,Weill Cornell Medicine,Doha,Full Time,Not specified,IT/Software Development,['Marketing
76,Senior Lawyer,Al,Kuwait City,Full Time,Experienced,5+ Yrs of Exp,['Customer Service
77,Cook,Four Seasons Hotels and Resorts ,Cairo,Full Time,Not specified,Customer Service/Support,['Hospitality
78,Business Development Manager,Emdad Recruitment ,Riyadh,Full Time,Not specified,Business Development,['Marketing
79,Restaurant Supervisor,Alshaya Trade ,Kuwait City,Full Time,Not specified,Hospitality/Hotels/Food Services,['Marketing
80,UAE National,Bayut | dubizzle ,Dubai,Full Time,Not specified,Administration,['Customer Service
81,Electrical Engineer Level II,Worley Parsons ,Doha,Full Time,Not specified,IT/Software Development,['Engineering - Telecom
82,Machine Learning Engineering Manager,Yassir ,Cairo,Full Time,Not specified,IT/Software Development,['Analyst
83,J14648,Edvectus ,Dubai,Full Time,Not specified,IT/Software Development,['Engineering - Telecom
84,CCR Operator M,SPIE ,Doha,Full Time,Not specified,Customer Service/Support,['Operations
85,Construction Manager,UrbaCon Contracting & Trading Company ,Doha,Full Time,Not specified,Accounting/Finance,['Engineering - Construction
86,Director of Food & Beverage,Kempinski Hotels ,Dubai,Full Time,Not specified,Hospitality/Hotels/Food Services,['Operations
87,Talented Housekeepers,apt resources ,Dubai,Full Time,Not specified,Hospitality/Hotels/Food Services,['Sales
88,Butlers for UHNWF,apt resources ,Dubai,Full Time,Not specified,Customer Service/Support,['IT
89,Marketing Intern,On,Cairo,Full Time,Not specified,Marketing/PR/Advertising,['Sales
90,Sales Associate,Alshaya Trade ,Kuwait City,Full Time,Not specified,Business Development,['Customer Service
91,Receptionist,Worley Parsons ,Doha,Full Time,Not specified,Administration,['Customer Service
92,F&B Hostess,Four Seasons Hotels and Resorts ,Cairo,Full Time,Not specified,Hospitality/Hotels/Food Services,['Sales
93,Custom Clearance Manager,UrbaCon Contracting & Trading Company ,Doha,Full Time,Not specified,Customer Service/Support,['Logistics
94,Paint Protection Film Technician,Premium Solutions Consultancy ,Doha,Full Time,Not specified,Business Development,"['Pharmaceutical', 'Engineering - Mechanical"
95,Presales Engineer,PaxeraHealth ,Cairo,Full Time,Not specified,IT/Software Development,['Sales
96,Room Service Order Taker,Kempinski Hotels ,Dubai,Full Time,Not specified,Administration,['Customer Service
97,Operations Geoscientists,Saudi Geophysical ,Riyadh,Full Time,Not specified,C-Level Executive/GM/Director,"['drilling', 'geosteering', 'geological', 'geosteer', 'geoscientists']"
98,Inside Sales Representative,Pipeline Gurus ,Cairo,Full Time,Not specified,Customer Service/Support,['Medical
99,Resource Analyst 2,Oracle ,Cairo,Full Time,Not specified,IT/Software Development,['Analyst
100,Project Manager,D4DS ,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['IT
101,Assistant Director of Housekeeping,Four Seasons Hotels and Resorts ,Cairo,Full Time,Not specified,Accounting/Finance,"['Administration', 'Hospitality"
102,Car Wash Staff,Premium Solutions Consultancy ,Doha,Full Time,Not specified,Administration,['Medical
103,Secretary,City Centre Rotana ,Doha,Full Time,Not specified,Administration,['Customer Service
104,Demi Chef de Partie,Park Rotana ,Abu Dhabi,Full Time,Not specified,Hospitality/Hotels/Food Services,['Operations
105,Property Consultant,Capital Link Developments ,Heliopolis,Full Time,Experienced,0 - 2 Yrs of Exp,['Sales
106,Country Manager,Luca Exim ,Cairo,Work From Home,Experienced,3 - 15 Yrs of Exp,"['Business Development', 'Marketing"
107,Talent Acquisition Specialist,Cred Developments ,New Cairo,Full Time,Entry Level,2 - 4 Yrs of Exp,"['Human Resources', 'Human Resources"
108,Sales Engineer,Professional Service ,Obour City,Full Time,Experienced,3 - 5 Yrs of Exp,['Sales
109,Receptionist,Menard ,Sheraton,Full Time,Experienced,3 - 10 Yrs of Exp,"['Administration', 'Customer Service"
110,Sales Manager,SIG GRANITE EXPORT ,Cairo,Full Time,Manager,5 - 10 Yrs of Exp,"['Business Development', 'Sales"
111,Sales Assistant,Soit Medical ,Nasr City,Full Time,Experienced,1 - 3 Yrs of Exp,"['Administration', 'Customer Service"
112,System Administrator,Safa Soft ,Maadi,Full Time,Experienced,3 - 5 Yrs of Exp,"['males_preferred', 'IT"
113,HSE Assistant Section Head,National Electricity Technology Co. ,Bourj Alarab,Full Time,Experienced,5+ Yrs of Exp,"['Administration', 'R&D"
114,Safety Engineer,ICON Holding ,Cairo,Full Time,Experienced,1 - 3 Yrs of Exp,['Engineering - Construction
115,Operations & Maintenance Electrical Engineer,National Electricity Technology Co. ,Bourj Alarab,Full Time,Experienced,3 - 6 Yrs of Exp,['Installation
116,Teaching Assistant,Confidential ,New Capital,Full Time,Entry Level,1 - 5 Yrs of Exp,['Education
117,Procurement Engineer,R & E Petroleum Services ,Alexandria,Full Time,Entry Level,1 - 3 Yrs of Exp,['Purchasing
118,Junior Accountant,Femex Egypt ,Sheraton,Full Time,Entry Level,1 - 2 Yrs of Exp,['Accounting
119,Warehouse Specialist,National Electricity Technology Co. ,Bourj Alarab,Full Time,Experienced,3 - 5 Yrs of Exp,"['males_only', 'Logistics"
120,HR Coordinator,National Electricity Technology Co. ,Bourj Alarab,Full Time,Entry Level,0 - 1 Yrs of Exp,"['Human Resources', 'HR', 'Hr coordinator', 'Coordinator', 'Human Resources"
121,Senior Graphic Designer,Confidential ,Mohandessin,Full Time,Experienced,4 - 7 Yrs of Exp,"['males_preferred', 'Creative"
122,Sales Account Manager,Nova Plastik LLC ,10th of Ramadan City,Full Time,Manager,5+ Yrs of Exp,['Manufacturing
123,Senior Cost Accountant,Easy Group For Health and Beauty Care ,Alexandria,Full Time,Experienced,5 - 7 Yrs of Exp,['Accounting
124,Sales Specialist,Yousry group ,Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp,['Sales
125,Senior Accountant,Confidential ,Bourj Alarab,Full Time,Experienced,3 - 5 Yrs of Exp,['Accounting
126,Collection Specialist,Confidential ,Maadi,Full Time,Experienced,2 - 5 Yrs of Exp,['Accounting
127,Patient Accountant,Rofayda Health Park ,Sheikh Zayed,Full Time,Experienced,5 - 8 Yrs of Exp,['Accounting
128,Java Developer,Ebla ,Nasr City,Full Time,Experienced,3+ Yrs of Exp,['IT
129,Senior Product Branding,International Group For Modern Coating  ,Downtown,Full Time,Experienced,4 - 7 Yrs of Exp,['Marketing
130,Franchise Sales consultant,REMAX Egypt  ,Heliopolis,Full Time,Experienced,1 - 3 Yrs of Exp,['Sales
131,B2B Sales Executive,PyramidBITS ,Maadi,Full Time,Experienced,1 - 3 Yrs of Exp,"['Business Development', 'Sales"
132,Social Media Moderator,Yousry group ,Cairo,Full Time,Entry Level,1 - 3 Yrs of Exp,['Writing
133,Senior .NET,Arabian Advanced Systems ,Cairo,Full Time,Experienced,4 - 6 Yrs of Exp,['IT
134,Sales Representative,Metas Studio  ,Sidi Gaber,Full Time,Experienced,0 - 1 Yrs of Exp,['Customer Service
135,Quality Assurance Specialist,Confidential ,Nasr City,Full Time,Experienced,1 - 2 Yrs of Exp,"['Quality', 'Pharmaceutical', 'Quality Control', 'Quality Assurance', 'Quality', 'QA', 'Pharmacy']"
136,General Accountant,Nova Plastik LLC ,10th of Ramadan City,Full Time,Experienced,5+ Yrs of Exp,['Accounting
137,Marketing Administrator,El Kamash Group ,Marg,Full Time,Experienced,3+ Yrs of Exp,"['males_only', 'Marketing"
138,offline Marketing Specialist,Selah ElTelmeez For Publishing & printing ,Obour City,Full Time,Experienced,1 - 3 Yrs of Exp,['Marketing
139,Preschool Montessori French Teacher,Trillium Preschool ,Maadi,Full Time,Entry Level,1 - 2 Yrs of Exp,['Education
140,Application Support Agent,Waseet.net ,Heliopolis,Full Time,Entry Level,1 - 3 Yrs of Exp,['Customer Service
141,Technical Lead Full Stack,webSTDY ,Mohandessin,Full Time,Experienced,5 - 7 Yrs of Exp,['IT
142,Software Tester,webSTDY ,Mohandessin,Full Time,Entry Level,1 - 3 Yrs of Exp,['IT
143,Senior PHP,webSTDY ,Mohandessin,Full Time,Experienced,3+ Yrs of Exp,['IT
144,AI & Social Media Specialist,Yousry group ,Obour City,Full Time,Entry Level,0 - 2 Yrs of Exp,['Marketing
145,Customer Support Advisor,Etisalat Egypt ,Maadi,Full Time,Entry Level,Customer Service/Support,['Sales
146,Project Manager,ZINAD IT ,6th of October,Full Time,Experienced,1 - 3 Yrs of Exp,['IT
147,Translator,TransOrient ,Cairo,Full Time,Experienced,3+ Yrs of Exp,['Writing
148,Receptionist,Smart Villages Development & Managment Company ,Abu Rawash,Full Time,Entry Level,1 - 4 Yrs of Exp,"['females_preferred', 'Administration', 'Receptionist', 'Admin', 'Freshgrad', 'English']"
149,Factory Manager,Confidential ,10th of Ramadan City,Full Time,Senior Management,10 - 15 Yrs of Exp,"['males_only', 'Operations"
150,Front Office Clerk,Al Marasem Group ,Sheikh Zayed,Full Time,Experienced,2 - 5 Yrs of Exp,"['Administration', 'Customer Service"
151,Monitoring And Evaluation Officer,Kheir wa Baraka & New Woman Association ,Cairo,Full Time,Experienced,2 - 5 Yrs of Exp,['Analyst
152,International Account Advisor,_VOIS Egypt ,Cairo,Full Time,Entry Level,Customer Service/Support,"['Customer Service', 'Customer Care', 'Customer Support', 'Home', 'Customer', 'Service', 'Consultant', 'Call Center', 'Communication skills']"
153,Frontend Developer,Ejada  ,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp,['IT
154,Application Developer,Confidential ,Nasr City,Full Time,Experienced,3 - 5 Yrs of Exp,['IT
155,Value Add Program Director,Industrial Modernisation Centre (IMC) ,Abbassia,Full Time,Senior Management,10 - 15 Yrs of Exp,['Engineering - Construction
156,Technical Office Engineering MEP,United Engineering company ,Haram,Full Time,Entry Level,5 - 7 Yrs of Exp,['Engineering - Mechanical
157,French Teacher,Manhattan Schools ,Maadi,Full Time,Experienced,5 - 6 Yrs of Exp,['Education
158,Elementary English Teacher,Delta American School  ,Mansoura,Full Time,Entry Level,1 - 5 Yrs of Exp,['Education
159,Telesales Representative,Zumra Food ,Nasr City,Full Time,Experienced,1 - 3 Yrs of Exp,['Sales
160,Category Manager,Zumra Food ,Nasr City,Full Time,Experienced,1 - 3 Yrs of Exp,['Purchasing
161,HR Administrator,Confidential ,Jeddah,Full Time,Experienced,5 - 10 Yrs of Exp,"['Human Resources', 'HR', 'Human Resources"
162,Internal Audit Manager,Confidential ,Bourj Alarab,Full Time,Manager,10+ Yrs of Exp,"['males_only', 'Accounting"
163,Sales Manager,Confidential ,Cairo,Full Time,Manager,8 - 15 Yrs of Exp,['Sales
164,Fleet Manager,Grand Plast  ,khanka,Full Time,Manager,7 - 15 Yrs of Exp,"['Administration', 'Logistics"
165,Business Development Manager,GlassRock Insulation Co. ,Maadi,Full Time,Manager,8 - 12 Yrs of Exp,"['Business Development', 'Marketing"
166,Senior Content Creator,Cizaro  ,New Cairo,Full Time,Experienced,2 - 4 Yrs of Exp,"['females_preferred', 'Writing"
167,Pre sales coordinator,HD Solution ,6th of October,Full Time,Experienced,1 - 3 Yrs of Exp,['Customer Service
168,Sales Account Manager,SABA ,Heliopolis,Full Time,Experienced,3 - 5 Yrs of Exp,['Sales
169,Light Current Site Engineer,SABA ,Heliopolis,Full Time,Experienced,3 - 6 Yrs of Exp,['Installation
170,Junior Brand Manager,COLORS ,Heliopolis,Full Time,Experienced,1 - 2 Yrs of Exp,['Marketing
171,Outgoing Tour Operator,Safa International Travel ,Dokki,Full Time,Entry Level,1 - 2 Yrs of Exp,['Customer Service
172,Travel Advisor,Safa International Travel ,Dokki,Full Time,Experienced,2 - 5 Yrs of Exp,['Customer Service
173,Customer Service Representative,Kheir wa Baraka & New Woman Association ,Masr Al Qadima,Full Time,Entry Level,1 - 2 Yrs of Exp,['Customer Service
174,Airline Fulfillment Agent,Safa International Travel ,Dokki,Full Time,Experienced,3 - 5 Yrs of Exp,"['males_only', 'Customer Service"
175,Project Engineer,Dar El Meyah For Supplies and Contracting ,Sheraton,Full Time,Entry Level,1 - 3 Yrs of Exp,['Project
176,Equipment & Maintenance Manager,United Engineering For Construction (UECC) ,Giza,Full Time,Manager,12 - 15 Yrs of Exp,['Installation
177,Personnel & Payroll Specialist,4level1 ,Cairo,Full Time,Experienced,3+ Yrs of Exp,['Accounting
178,Senior Full Stack Developer 23012,Ditech Egypt ,Cairo,Full Time,Experienced,4+ Yrs of Exp,['IT
179,Estimation Manager,United Engineering For Construction (UECC) ,Giza,Full Time,Manager,12 - 15 Yrs of Exp,['Engineering - Construction
180,Application Support Engineer23013,Ditech Egypt ,Nasr City,Full Time,Experienced,2 - 7 Yrs of Exp,['IT
181,Senior Back,Seoudi Supermarket ,Sheikh Zayed,Full Time,Experienced,2 - 5 Yrs of Exp,['IT
182,Legal Affairs Officer,Egyptian Cultural Center ,Nasr City,Full Time,Experienced,3 - 6 Yrs of Exp,"['Legal', 'Law', 'Legal Affairs', 'Legal', 'ERP', 'MS Office']"
183,Learning Experience Specialist,Parkville Pharmaceuticals ,Giza,Full Time,Entry Level,1 - 2 Yrs of Exp,['Training
184,Marketing Specialist,Promech Engineering ,Maadi,Full Time,Experienced,1 - 3 Yrs of Exp,['Marketing
185,Organizational Development Head,Saudi German Hospital  ,New Nozha,Full Time,Manager,6 - 9 Yrs of Exp,"['Human Resources', 'Business Development', 'Communication skills', 'Organizational Development', 'Administration', 'Development']"
186,Instructional Designer,Dolf ,Heliopolis,Full Time,Experienced,2 - 5 Yrs of Exp,['Creative
187,Solution Architect,Lumin ,Sheikh Zayed,Part Time,Experienced,5+ Yrs of Exp,['IT
188,Music Teacher,Elite Education Group ,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp,['Education
189,Sr .Net Developer,egabi solutions ,Cairo,Full Time,Experienced,2 - 8 Yrs of Exp,['IT
190,SR. JAVA,egabi solutions ,Cairo,Full Time,Experienced,3 - 6 Yrs of Exp,['IT
191,QA Engineer,egabi solutions ,Cairo,Full Time,Experienced,1 - 3 Yrs of Exp,['IT
192,Sales Engineer,INGAZ ,Cairo,Full Time,Manager,12 - 15 Yrs of Exp,['Installation
193,Unity Developer,RDI ,Dokki,Full Time,Experienced,3+ Yrs of Exp,['Creative
194,Senior Python,RDI ,Dokki,Part Time,Experienced,3+ Yrs of Exp,['IT
195,Sales executive.,Promech Engineering ,Maadi,Full Time,Experienced,1 - 3 Yrs of Exp,['Manufacturing
196,Head of Human Resources,STIO Life Science ,Cairo,Full Time,Senior Management,10 - 15 Yrs of Exp,"['Human Resources', 'Operations"
197,Event Planner,Universal Education ,Heliopolis,Freelance,Experienced,3 - 5 Yrs of Exp,['Creative
198,IT Technician,Fama technologies  ,Maadi,Full Time,Entry Level,1 - 1 Yrs of Exp,['Installation
199,Process Development Engineer,AKL Auto Feeding Industries ,Talkha,Full Time,Entry Level,1 - 3 Yrs of Exp,['Engineering - Mechanical
200,Oracle Fusion Technical Consultant,Ejada  ,Cairo,Full Time,Experienced,3+ Yrs of Exp,['IT
201,Purchasing Specialist,Nature's Rule Egypt LLC  ,New Cairo,Full Time,Experienced,3 - 10 Yrs of Exp,['Purchasing
202,Preschool Montessori English Teacher,Trillium Preschool ,Shorouk City,Full Time,Entry Level,2 - 3 Yrs of Exp,['Education
203,DIGITAL ADVERTISING SPECIALIST,Confidential ,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp,['Marketing
204,Organization Development Specialist,Delta Egypt For Lighting  ,Obour City,Full Time,Experienced,3 - 3 Yrs of Exp,"['Administration', 'Human Resources', 'Communication skills', 'Management', 'Organizational Development', 'Human Resources"
205,Logistics Specialist,Nature's Rule Egypt LLC  ,New Cairo,Full Time,Experienced,3 - 10 Yrs of Exp,['Logistics
206,Stock Control Accountant,Rofayda Health Park ,Sheikh Zayed,Full Time,Experienced,3 - 8 Yrs of Exp,"['males_only', 'Accounting"
207,HR Manager,Confidential ,Heliopolis,Full Time,Manager,3 - 5 Yrs of Exp,"['Administration', 'Human Resources', 'Operations"
208,Sales Engineer,NCC X,Alexandria,Full Time,Entry Level,2 - 5 Yrs of Exp,['Engineering - Construction
209,Export Sales Section Head,Easy Group For Health and Beauty Care ,Sheraton,Full Time,Manager,5 - 7 Yrs of Exp,"['Administration', 'Business Development', 'Sales"
210,Personnel & Payroll Specialist,Kheir wa Baraka & New Woman Association ,Cairo,Full Time,Experienced,3 - 5 Yrs of Exp,"['Human Resources', 'Personnel', 'HR', 'Payroll', 'Labor Law', 'Human Resources"
211,Quality Control Specialist,Prifix ,Bourj Alarab,Full Time,Experienced,2 - 5 Yrs of Exp,"['Quality', 'Quality Control', 'quality']"
212,Projects Manager,Somabay ,Hurghada,Full Time,Manager,10 - 15 Yrs of Exp,['Engineering - Construction
213,Senior Media Buyer,winsome ,Nasr City,Full Time,Experienced,2 - 5 Yrs of Exp,['Marketing
214,Accounting Manager,Confidential ,New Cairo,Full Time,Manager,5 - 7 Yrs of Exp,"['males_only', 'Accounting"
215,Marketing Manager,Elsaba AutoService ,New Cairo,Full Time,Manager,5 - 7 Yrs of Exp,['Marketing
216,Virtual Assistant,Chatbase.co Inc. ,Cairo,Full Time,Entry Level,2 - 6 Yrs of Exp,"['Administration', 'Virtual Assistant', 'Social Media', 'SEO', 'HR']"
217,FCMG sales,O,Sheraton,Full Time,Experienced,2 - 5 Yrs of Exp,['Sales
218,Procurement Engineer,Modern Interiors Design – Construction ,Mohandessin,Full Time,Experienced,4 - 7 Yrs of Exp,['Engineering - Mechanical
219,Spanish Telesales Representative,Options ,Mohandessin,Full Time,Experienced,2 - 4 Yrs of Exp,['Customer Service
220,Customer Service agent,Etisalat Egypt ,Maadi,Full Time,Entry Level,0 - 10 Yrs of Exp,['Customer Service
221,non voice,Etisalat Egypt ,Cairo,Full Time,Entry Level,0 - 13 Yrs of Exp,['Customer Service
222,Senior Site Mechanical Engineer MEP Background,Modern Interiors Design – Construction ,6th of October,Full Time,Experienced,5 - 9 Yrs of Exp,['Engineering - Construction
223,C1 English Chat and Email for an Online shopping website,Majorel Egypt ,Cairo,Full Time,Entry Level,1+ Yrs of Exp,['Customer Service
224,Senior .NET Developer with Mashup Development Expertise,Confidential ,Riyadh,Full Time,Experienced,3 - 5 Yrs of Exp,['IT
225,Senior Qlik Sense Developer with NPrinting & Alerting Expertise,Confidential ,Riyadh,Full Time,Experienced,3 - 5 Yrs of Exp,['IT
226,Sales Specialist,TA telecom ,Maadi,Full Time,Experienced,2+ Yrs of Exp,['Sales
227,Clinical Web Applications Junior Support Specialist,Egypt HiTech   ,Mansoura,Full Time,Entry Level,Customer Service/Support,['IT
228,Marketing Account Executive,support ,Mansoura,Work From Home,Entry Level,1 - 3 Yrs of Exp,['Marketing
229,Marketing Specialist,Confidential ,10th of Ramadan City,Full Time,Experienced,2 - 6 Yrs of Exp,['Creative
